DEPARTAMENTO;PROVINCIA;DISTRITO;NOMBRE LOCAL;ESTADO DE REINICIO DE OPERACIONES;HORARIO DE ATENCIÓN AL PUBLICO; DIRECCION 
SAN MARTIN;BELLAVISTA;BELLAVISTA;AG BELLAVISTA;OPERATIVO;08:45 a 16:45;Jirón Huallaga - Iquitos Mz. 7 Lt. 27 - A.  1er. Piso
SAN MARTIN;PICOTA;PICOTA;AG PICOTA;OPERATIVO;08:45 a 16:45;Jirón Simón Bolívar, cuadra 4
LORETO;DATEM DEL MARAÑON;BARRANCA;ORA SAN LORENZO - NUCLEO BASE;OPERATIVO;08:45 a 16:30;Barrio Daniel Alcides Carrión S/N - Barrio Huacachina
SAN MARTIN;SAN MARTIN ;LA BANDA DE SHILCAYO;AG LA BANDA DE SHILCAYO;OPERATIVO;08:45 a 16:45;Jirón Yurimaguas N° 340
SAN MARTIN;MARISCAL CACERES;JUANJUI;ORA HOSPITAL JUANJUI;OPERATIVO;08:45 a 16:30;Jirón Arica N° 205
SAN MARTIN;RIOJA;RIOJA;ORA HOSPITAL DE RIOJA;OPERATIVO;08:45 a 16:30;Jirón Túpac Amaru S/N
LORETO;MAYNAS;PUNCHANA;"ORA HOSPITAL REGIONAL DE LORETO ""FELIPE ARRIOLA IGLESIAS""";OPERATIVO;08:45 a 16:30;Avenida 28 de Julio S/N
LORETO;MAYNAS;IQUITOS;"ORA HOSPITAL IQUITOS ""CESAR GARAYAR GARCIA""";OPERATIVO;08:45 a 16:30;Calle Libertad cuadra 4
LORETO;MAYNAS;BELÉN;OR BELEN;OPERATIVO;08:45 a 16:30;Calle Miraflores S/N P. J. 09 de Octubre
LORETO;MAYNAS;TENIENTE MANUEL CLAVERO;PAP SOPLIN VARGAS;OPERATIVO;08:45 a 16:30;Avenida Plaza de Armas S/N 28 de Julio
LORETO;MAYNAS;IQUITOS;OR IQUITOS;OPERATIVO;08:45 a 16:45;Jirón Próspero Nº 201
LORETO;LORETO;NAUTA;PAP NAUTA;OPERATIVO;08:45 a 16:30;Avenida Grau Nº 305 Centro
LORETO;REQUENA;REQUENA;PAP REQUENA;OPERATIVO;08:45 a 16:30;Calle San Antonio S/N Anexo Hotel Municipal
LORETO;MARISCAL RAMON CASTILLA;RAMON CASTILLA;PAP MARISCAL RAMON CASTILLA - CABALLOCOCHA;OPERATIVO;08:45 a 16:30;Calle Ayacucho Mz. 22 Lt. 4 C con Amazonas S/N - Local Municipal
LORETO;MAYNAS;SAN JUAN BAUTISTA;OR SAN JUAN BAUTISTA;OPERATIVO;08:45 a 16:30;Avenida Abelardo Quiñones Nº 2371 Km. 2.5 
LORETO;MARISCAL RAMON CASTILLA;YAVARI;PAP YAVARI;OPERATIVO;08:45 a 16:30;Pasaje Dos de Julio S/N Local Municipal
LORETO;MAYNAS;PUTUMAYO;PAP PUTUMAYO;OPERATIVO;08:45 a 16:30;Calle LOCAL MUNICIPAL
LORETO;MAYNAS;PUNCHANA;PAP PUNCHANA;OPERATIVO;08:45 a 16:30;Calle Trujillo esquina con Calle Cusco, cuadra 5
LORETO;REQUENA;REQUENA;ORA REQUENA;OPERATIVO;08:45 a 16:30;Calle Mártires del Petroléo S/N - Malecon Grau
