DEPARTAMENTO;PROVINCIA;DISTRITO;NOMBRE LOCAL;ESTADO DE REINICIO DE OPERACIONES;HORARIO DE ATENCIÓN AL PUBLICO; DIRECCION 
TACNA;TACNA;TACNA;AG TACNA;OPERATIVO;08:45 a 16:45;Calle Deustua Nº 173
AREQUIPA;AREQUIPA;AREQUIPA;ORA HOSPITAL III GOYENECHE;OPERATIVO;08:45 a 16:30;Avenida Goyeche N° 100
AREQUIPA;CAMANA;CAMANA;ORA HOSPITAL DE CAMANA;OPERATIVO;08:45 a 16:30;Avenida Lima 550
AREQUIPA;AREQUIPA;PAUCARPATA;MAC - AREQUIPA;OPERATIVO;08:30 a 16:30;Avenida Porongoche N° 500 Paucarpata - Centro Comercial Mall Aventura 
AREQUIPA;CAYLLOMA;MAJES;ORA HOSPITAL CENTRAL DE MAJES- ANGEL GABRIEL CHURA GALLEGOS;OPERATIVO;08:45 a 16:30;- Asentamiento B1 lote 1 Irrig. Majes
CUSCO;CUSCO;SANTIAGO;ORA ANTONIO LORENA DEL CUSCO;OPERATIVO;08:45 a 16:30;Calle Carlos Ugarte S/N Urb. Primavera Cuartel Agustín Gamarra
CUSCO;CUSCO;WANCHAQ;ORA HOSPITAL NACIONAL ADOLFO GUEVARA VELASCO;OPERATIVO;08:45 a 16:30;Avenida Ancelmo Alvarez S/N
APURIMAC;ABANCAY;ABANCAY;OR ABANCAY;OPERATIVO;08:45 a 16:45;Avenida La Victoria Nº 214
APURIMAC;AYMARAES;CHALHUANCA;PANP AYMARAES;DESPLAZAMIENTO;08:45 a 16:30;- Plaza de Armas S/N (Gobernatura De Chalhuanca)
APURIMAC;ANTABAMBA;ANTABAMBA;PANP ANTABAMBA;DESPLAZAMIENTO;08:45 a 16:30;- Plaza de Armas S / N
APURIMAC;COTABAMBAS;TAMBOBAMBA;PAP TAMBOBAMBA;OPERATIVO;08:45 a 16:30;Avenida Perú - Plaza de Armas S/N - 3er Piso
APURIMAC;GRAU;CHUQUIBAMBILLA;PANP GRAU;DESPLAZAMIENTO;08:45 a 16:30;- Plaza de Armas S / N
CUSCO;CUSCO;CUSCO;OR CUSCO;OPERATIVO;08:45 a 16:45;Avenida El Sol N° 272
CUSCO;ACOMAYO;ACOMAYO;PANP ACOMAYO;DESPLAZAMIENTO;08:45 a 16:30;- Plaza de Armas S/N
CUSCO;ANTA;ANTA ;PAP ANTA;OPERATIVO;08:45 a 16:30;Jirón Jaquijahuana  S / N, Izcuchaca
CUSCO;CALCA;CALCA;AG CALCA;OPERATIVO;08:45 a 16:45;- Plaza de Armas S/N
CUSCO;CANAS;YANAOCA;PAP CANAS;OPERATIVO;08:45 a 16:30;- Plaza de Armas S/N
CUSCO;CANCHIS;SICUANI;AG CANCHIS;OPERATIVO;08:45 a 16:45;Avenida Túpac Amaru N° 163
CUSCO;CHUMBIVILCAS;SANTO TOMAS;PAP CHUMBIVILCAS;OPERATIVO;08:45 a 16:30;Avenida Perú S / N (Ruedo de Toros)
CUSCO;ESPINAR;ESPINAR;PAP ESPINAR;OPERATIVO;08:45 a 16:45;Calle Teatro S/N  
CUSCO;LA CONVENCION;SANTA ANA;AG LA CONVENCION;OPERATIVO;08:45 a 16:45;Avenida Grau Nº 238
CUSCO;PARURO;PARURO;PANP PARURO;DESPLAZAMIENTO;08:45 a 16:30;- Plaza de Armas S/N
CUSCO;PAUCARTAMBO;PAUCARTAMBO;PAP PAUCARTAMBO - JR9;OPERATIVO;08:45 a 16:30;Jirón Enrique Yabar S/N
CUSCO;QUISPICANCHI;URCOS;PAP QUISPICANCHI;OPERATIVO;08:45 a 16:45;Jirón Huáscar N° 181
CUSCO;URUBAMBA;URUBAMBA;PAP URUBAMBA;OPERATIVO;08:45 a 16:30;Avenida Conchatupa S/N
MADRE DE DIOS;TAHUAMANU;IBERIA;AG IBERIA;OPERATIVO;08:45 a 16:30;Avenida Máximo Rodríguez N° 124 Plaza de Armas
APURIMAC;ABANCAY;ABANCAY;ORA HOSPITAL REGIONAL GUILLERMO DIAZ DE LA VEGA;OPERATIVO;08:45 a 16:30;Avenida Daniel Alcides Carrión S/N
MADRE DE DIOS;TAMBOPATA;TAMBOPATA;OR TAMBOPATA;OPERATIVO;08:45 a 16:45;Jirón Lambayeque N° 159
MADRE DE DIOS;MANU;MANU;PANP MANU;DESPLAZAMIENTO;08:45 a 16:30;Avenida Esperanza S/N - Local Municipal
CUSCO;ACOMAYO;POMACANCHI;AG POMACANCHI;DESPLAZAMIENTO;08:45 a 16:30;- Plaza de Armas S/N
CUSCO;CUSCO;CUSCO;ORA HOSPITAL DE APOYO DEPARTAMENTAL CUSCO;OPERATIVO;08:45 a 16:30;Avenida La Cultura S/N
CUSCO;CUSCO;SANTIAGO;ORA BELEMPAMPA;OPERATIVO;08:45 a 16:30;Avenida 21 de Mayo S/N
CUSCO;CANCHIS;SICUANI;ORA SICUANI;OPERATIVO;08:45 a 16:30;Avenida Manuel Callo Zevallos N° 519 - Hospital MINSA Sicuani
MADRE DE DIOS;TAMBOPATA;TAMBOPATA;ORA SANTA ROSA;OPERATIVO;08:45 a 16:30;Jirón Cajamarca N° 171
CUSCO;LA CONVENCION;SANTA ANA;ORA QUILLABAMBA;OPERATIVO;08:45 a 16:30;Avenida General Gamarra S/N - Hospital Quillabamba
APURIMAC;AYMARAES;CHALHUANCA;ORA CHALHUANCA;OPERATIVO;08:45 a 16:30;Avenida Bolivar S/N
CUSCO;ESPINAR;ESPINAR;ORA ESPINAR;OPERATIVO;08:45 a 16:30;Calle Domingo Huarca Cruz S/N Barrio Túpac Amaru  - Hospital Espinar
MADRE DE DIOS;TAHUAMANU;IBERIA;ORA SAN MARTIN DE PORRES DE IBERIA;OPERATIVO;08:45 a 16:30;Calle Mocopata S/N
APURIMAC;COTABAMBAS;TAMBOBAMBA;ORA TAMBOBAMBA;OPERATIVO;08:45 a 16:30;- Hospital Tambobamba
APURIMAC;COTABAMBAS;HAQUIRA;PAP HAQUIRA;OPERATIVO;08:45 a 16:30;- Plaza de armas S/N-Haquira
CUSCO;CHUMBIVILCAS;SANTO TOMAS;ORA SANTO TOMAS;OPERATIVO;08:45 a 16:30;Calle  Andres Avelino Caceres - Hospital Santo Tomas  
CUSCO;CHUMBIVILCAS;VELILLE;PANP VELILLE;DESPLAZAMIENTO;08:45 a 16:30;- Plaza de Armas - Municipalidad Distrital Velille
CUSCO;CALCA;YANATILE;PANP YANATILE;DESPLAZAMIENTO;08:45 a 16:30;- Plaza de Armas - Municipalidad Distrital Yanatile
APURIMAC;ABANCAY;CURAHUASI;PANP CURAHUASI;DESPLAZAMIENTO;08:45 a 16:30;- Coliseo Cerrado - Municipalidad de Curahuasi
LIMA;LIMA ;JESÚS MARÍA;ORA HOSPITAL NACIONAL EDGARDO REBAGLIATI MARTINS;OPERATIVO;08:45 a 16:30;Avenida AV. SALAVERRY CDRA. 13 - PUERTA 6
CALLAO;CALLAO;CALLAO;ORA NAC. DANIEL A. CARRIÓN;OPERATIVO;08:45 a 16:30;Avenida Guardia Chalaca Nº 2176 - Bellavista
LIMA;LIMA;SAN JUAN DE LURIGANCHO;ORA HOSPITAL SAN JUAN DE LURIGANCHO;OPERATIVO;08:45 a 16:30;Avenida Canto Grande S/N - Altura del paradero 10
LIMA;LIMA;EL AGUSTINO;ORA HOSPITAL NACIONAL HIPOLITO UNANUE;OPERATIVO;08:45 a 16:30;Avenida Cesar Vallejo Nº 1390 
LIMA;LIMA;LIMA;ORA INSTITUTO NACIONAL MATERNO PERINATAL;OPERATIVO;08:45 a 16:30;Jirón Miroquesada Nº 941 - Lima
CALLAO;CALLAO;VENTANILLA;OR VENTANILLA;OPERATIVO;08:45 a 16:45;Avenida Pachacutec N° 225 - Sector B - Grupo Residencial B1 - Mz. F1 
LIMA;LIMA;SANTIAGO DE SURCO;OR SURCO - HIGUERETA;OPERATIVO;08:45 a 16:45;Avenida Santiago de Surco Nº 2807 Urb. Residencial Higuereta
LIMA;LIMA;SAN BORJA;OR SAN BORJA;OPERATIVO;08:45 a 16:45;Avenida San Luis N° 1673 Urb. Jacaranda II
LIMA;LIMA;COMAS;OR COMAS III;OPERATIVO;08:45 a 16:45;Avenida San Felipe Nº 830 Urb. San Felipe
LIMA;LIMA;LIMA;OR QUILCA;OPERATIVO;08:45 a 16:45;Jirón Quilca Nº 501 y 525 
LIMA;LIMA;LIMA;AG ANCASH;OPERATIVO;08:45 a 16:45;Jirón Ancash Nº 336-340 y 344 (Frente a la Plazuela San Francisco) - Lima
LIMA;LIMA;VILLA MARÍA DEL TRIUNFO;ORA DANIEL ALCIDES CARRION;OPERATIVO;08:45 a 16:30;Avenida Pachacutec N° 3470 - Pasando el Terminal Pesquero.
CALLAO;CALLAO;BELLAVISTA;MAC - CALLAO;OPERATIVO;08:30 a 16:30;Avenida Oscar R. Benavides N° 3866 - Centro Comercial Mall Aventura Plaza
LIMA;LIMA;LIMA;OR LIMA;OPERATIVO;08:45 a 16:45;Jirón Av. Nicolás de Piérola N 545
LIMA;LIMA;ATE;OR ATE;OPERATIVO;08:45 a 16:45;Jirón Industrial Nº 438
LIMA;LIMA;COMAS;OR COMAS I;OPERATIVO;08:45 a 16:45;Avenida Tupac Amaru N° 5527 - 5531 - 5535, Urb Huaquillay 2da Etapa
LIMA;LIMA;LURIN;OR LURIN;OPERATIVO;08:45 a 16:45;Jirón Simon Bolivar N° 267
LIMA;LIMA;MIRAFLORES;OR MIRAFLORES;OPERATIVO;08:45 a 16:45;Avenida Ernesto Diez Canseco N° 230
LIMA;LIMA;PUENTE PIEDRA;OR PUENTE PIEDRA;OPERATIVO;08:45 a 16:45;Jirón Ricardo Palma Nº 241
LIMA;LIMA;SAN JUAN DE LURIGANCHO;OR SAN JUAN DE LURIGANCHO;OPERATIVO;08:45 a 16:45;Avenida Las Flores Lote 1 Mz. G Urb. Canto Grande Unidad 7
LIMA;LIMA;SAN JUAN DE MIRAFLORES;OR SAN JUAN DE MIRAFLORES;OPERATIVO;08:45 a 16:45;Avenida Guillermo Billinghurst  N° 767 – 769 Mz. F Lote 18 Urb. SJM Parcela D
LIMA;LIMA;SAN MARTÍN DE PORRES;OR SAN MARTIN DE PORRES;OPERATIVO;08:45 a 16:45;Avenida Eduardo de Habich Nº 590 - 592 con Pedro Paulet N° 589
LIMA;CAJATAMBO;CAJATAMBO;AG CAJATAMBO;OPERATIVO;08:45 a 16:45;Jirón Bolognesi S/N - Comisiones de Regantes -Frente plaza de Armas
LIMA;CANTA;CANTA;AG CANTA;OPERATIVO;08:45 a 16:45;Jirón Independencia Nº 308 Municipio (Plaza de Armas)
LIMA;CAÑETE;SAN VICENTE DE CAÑETE;AG CAÑETE;OPERATIVO;08:45 a 16:45;Avenida Los Libertadores Mz. D-3 Lote 4 Urbanización Tercer Mundo
LIMA;HUAURA;HUACHO;AG HUACHO;OPERATIVO;08:45 a 16:45;Avenida Grau Nº 295
LIMA;HUAROCHIRI;MATUCANA;AG MATUCANA;OPERATIVO;08:45 a 16:45;Jirón Tacna S/N  - Centro Civico
LIMA;YAUYOS;YAUYOS;AG YAUYOS;OPERATIVO;08:45 a 16:45;Plaza Plaza Constitución Nº 110
LIMA;HUARAL;HUARAL;AG HUARAL;OPERATIVO;08:45 a 16:45;Pasaje Los Pinos Nº 149 Mz E Lote 4 Pasaje Urb. El Rosario
LIMA;BARRANCA;BARRANCA;OR BARRANCA;OPERATIVO;08:45 a 16:45;Avenida Independencia N° 674 - 676 - 678
LIMA;OYON;OYON;AG OYON;OPERATIVO;08:45 a 16:45;Jirón Unión 216
LIMA;LIMA;LURIGANCHO;OR CHOSICA;OPERATIVO;08:45 a 16:45;Jirón Chucuito Nº 248 
LIMA;LIMA;PACHACAMAC;OR PACHACAMAC;OPERATIVO;08:45 a 16:45;Avenida Paul Poblet N° 3111 - Dentro del Mercado Jumbo
LIMA;LIMA;JESÚS MARÍA;OR JESUS MARIA;OPERATIVO;08:45 a 16:45;Jirón Talara N° 130-132-134 y 136 Jesús Maria
LIMA;LIMA;CIENEGUILLA;OR CIENEGUILLA;OPERATIVO;08:45 a 16:45;"Avenida San Martin Lote 15, Zona ""D"" Manzana ""D"" Centro Poblado Tambo Viejo"
LIMA;LIMA;SANTA ANITA;OR SANTA ANITA;OPERATIVO;08:45 a 16:45;Avenida Los Eucaliptos Nº 947, Urbanización Universal
LIMA;LIMA;INDEPENDENCIA;OR INDEPENDENCIA;OPERATIVO;08:45 a 16:45;Calle Los Andes Nº 486 Urb. Industrial Panamericana Norte
CALLAO;CALLAO;VENTANILLA;MAC - VENTANILLA;OPERATIVO;08:30 a 16:30;Avenida La Playa S/N altura la Urb. Zona Comercial frente a la Plaza Cívica 
LIMA;LIMA;JESÚS MARÍA;AG 06 DE AGOSTO;OPERATIVO;08:45 a 16:45;Calle 06 de Agosto N° 856
CALLAO;CALLAO;MI PERÚ;AG MI PERU;OPERATIVO;08:45 a 16:45;- Mz. G7 Lt. 06 Mi Perú  interior de la Sede Municipal.
LIMA;LIMA;SAN MARTÍN DE PORRES;ORA NACIONAL CAYETANO HEREDIA;OPERATIVO;08:45 a 16:30;Jirón Honorio Delgado N° 262 - Urb. Ingeniería / Obstetricia
LIMA;HUAURA;HUACHO;ORA HOSPITAL GENERAL DE HUACHO;OPERATIVO;08:45 a 16:30;Avenida Jose Arnaldo Arambulo La Rosa N° 251
CALLAO;CALLAO;CALLAO;OR CALLAO;OPERATIVO;08:45 a 16:45;Avenida Dos de Mayo N° 440 - 446
LIMA;LIMA;SAN BORJA;AG ATENCIONES ESPECIALES DE SAN BORJA;OPERATIVO;08:45 a 16:45;Avenida Javier Prado N° 2388 -2386 - 2392
LIMA;LIMA;VILLA EL SALVADOR;OR VILLA EL SALVADOR;OPERATIVO;08:45 a 16:45;Avenida Arriba Perú Nº 640 Sector 2, Grupo 7, Mz J, Lt 05 
LIMA;LIMA;EL AGUSTINO;MAC - LIMA ESTE;OPERATIVO;08:30 a 16:30;Jirón Ancash 2151 - Centro Comercial Agustino Plaza
CALLAO;CALLAO;CARMEN DE LA LEGUA REYNOSO;ORA HOSPITAL SAN JOSE;OPERATIVO;08:45 a 16:30;Jirón Las Magnolias 475 Carmen de la Legua-Reynoso
CALLAO;CALLAO;VENTANILLA;ORA HOSPITAL DE VENTANILLA;OPERATIVO;08:45 a 16:30;Avenida Pedro Beltran S/N Ventanilla - Hospital de Ventanilla
LIMA;CAÑETE;SAN VICENTE DE CAÑETE;ORA HOSPITAL REZOLA;OPERATIVO;08:45 a 16:30;Calle San Martín Nº 120 -124 
LIMA;BARRANCA;BARRANCA;ORA HOSPITAL DE BARRANCA;OPERATIVO;08:45 a 16:30;Avenida Nicolás de Piérola Nº 210 -224
LIMA;HUARAL;HUARAL;ORA HOSPITAL SAN JUAN BAUTISTA HUARAL;OPERATIVO;08:45 a 16:30;Calle Tacna Nº 120 Urb. San Juan I
LIMA;LIMA ;COMAS;ORA HOSPITAL NACIONAL SERGIO E. BERNALES;OPERATIVO;08:45 a 16:30;Avenida Túpac Amaru N° 8000, Collique, Comas.
LIMA;LIMA;LIMA;ORA NACIONAL DOS DE MAYO;OPERATIVO;08:45 a 16:30;Avenida Parque Historia De La Medicina Peruana S/N Altura Cuadra 13 Av Grau
LIMA;LIMA;ATE ;ORA HOSPITAL DE HUAYCAN;OPERATIVO;08:45 a 16:30;Avenida José C.Mariátegui S/N Zona B - A.H.Huaycán S/N Ate Lima Lima
LIMA;LIMA;SAN JUAN DE MIRAFLORES;MAC - LIMA SUR;OPERATIVO;08:30 a 16:30;Avenida Circunvalación 1583- San Juan de Miraflores
LIMA;LIMA;COMAS;MAC - LIMA NORTE;OPERATIVO;08:30 a 16:30;Avenida Los Angeles N° 602 2do piso - Cc Mall Plaza 
LIMA;LIMA;JESUS MARIA;PVM - JESUS MARIA ;OPERATIVO;08:45 a 16:45;Jirón Talara N° 130
LIMA;LIMA;SANTIAGO DE SURCO;PVM - JOCKEY PLAZA;OPERATIVO;08:45 a 16:45;Avenida Javier Prado Este N° 4200 ( Centro Financiero del Centro Comercial)
LIMA;LIMA;SURQUILLO;PVM - OPEN PLAZA ANGAMOS;OPERATIVO;08:45 a 16:45;Avenida Cruce Angamos N° 1805 con Tomas Marsano
LIMA;LIMA;CHORRILLOS;PVM - PLAZA LIMA SUR;OPERATIVO;08:45 a 16:45;- Prolongación Paseo  de la Republica S/N Urb. Matellini (2do nivel del Centro Comercial) 
CALLAO;CALLAO;VENTANILLA;PVM VENTANILLA;OPERATIVO;08:45 a 16:45;Avenida La Playa S/N altura la Urb. Zona Comercial frente a la Plaza Cívica 
CALLAO;CALLAO;BELLAVISTA;PVM MALL AVENTURA PLAZA - CALLAO;OPERATIVO;08:45 a 16:45;Avenida Oscar R. Benavides N° 3866 - Centro Comercial Mall Aventura Plaza
LIMA;LIMA;CERCADO;PVM - REAL PLAZA CENTRO CÍVICO;OPERATIVO;08:45 a 16:45;Avenida Garcilaso de la Vega N° 1337
LIMA;LIMA;MIRAFLORES;PVM- MIRAFLORES;OPERATIVO;08:45 a 16:45;Avenida Diez Canseco N° 230
LIMA;LIMA;INDEPENDENCIA;PVM - INDEPENDENCIA;OPERATIVO;08:45 a 16:45;Calle Los Andes Nº 486 Urb. Industrial Panamericana Norte
LIMA;LIMA;SAN JUAN DE LURIGANCHO;PVM - SAN JUAN DE LURIGANCHO ;OPERATIVO;08:45 a 16:45;Avenida Las Flores Lote Nz. 6 Urb . Canto Grande 
LIMA;LIMA;SANTA ANITA;ORA HOSP. JORGE VOTO BERNALES;OPERATIVO;08:45 a 16:45;CARRETERA CARRETERA CENTRAL KM. 3,5 - SANTA ANITA
LIMA;LIMA;VILLA MARÍA DEL TRIUNFO;CMI JOSE CARLOS MARIATEGUI;OPERATIVO;08:45 a 16:45;Avenida Necochea s/n, AH. Jose Carlos Mariategui, Villa Maria del Triunfo.
LIMA;LIMA;CERCADO;HOSP. NAC DOC MADRE Y NIÑO  SAN BARTOLOME;OPERATIVO;08:45 a 16:45;Avenida ALFONSO UGARTE 825 - LIMA
LIMA;LIMA;CHORRILLOS;CMI VIRGEN DEL CARMEN ;OPERATIVO;08:45 a 16:45;Avenida LEOPOLDO ARIAS 200 FRENTE AL COLISEO MARISCAL CACERES
PUNO;PUNO;PUNO;ORA MANUEL NUÑEZ BUTRON;OPERATIVO;08:45 a 16:30;Avenida El Sol N° 1022
PUNO;PUNO;PUNO;ORA HOSPITAL BASE III (PUNO) - RED ASISTENCIAL PUNO;OPERATIVO;08:45 a 16:30;Jirón Francisco Cáceres Jara Nº 600
PUNO;SAN ROMAN;JULIACA;ORA CARLOS MONGE MEDRANO;OPERATIVO;08:45 a 16:30;- Carretera a Huancane Km 2
PUNO;EL COLLAO ;ILAVE ;ORA ILAVE;OPERATIVO;08:45 a 16:30;Jirón Atahualpa Nº 825
PUNO;SAN ROMAN;JULIACA;ORA HOSPITAL BASE III JULIACA - ESSALUD - RED ASISTENCIAL JULIACA;OPERATIVO;08:45 a 16:30;Avenida José Santos Chocano S/N - La Capilla
PUNO;PUNO;PUNO;OR PUNO;OPERATIVO;08:45 a 16:45;Jirón Arequipa N° 1143 - 1145 Barrio Victoria
PUNO;AZANGARO;AZANGARO;PAP AZANGARO;OPERATIVO;08:45 a 16:45;Jirón Azangaro N° 160  (Palacio Municipal)
PUNO;CARABAYA;MACUSANI;PAP CARABAYA;OPERATIVO;08:45 a 16:45;Jirón Raimondi N° 116
PUNO;CHUCUITO;JULI;PAP CHUCUITO;OPERATIVO;08:45 a 16:45;Jirón Ilave 235 - Mercado Central Municipio
PUNO;HUANCANE;HUANCANE;PAP HUANCANE;OPERATIVO;08:45 a 16:45;Jirón Moquegua N° 104 - Barrio Progreso
PUNO;LAMPA;LAMPA;PAP LAMPA;OPERATIVO;08:45 a 16:45;Jirón Alfonso Ugarte N° 343
PUNO;MELGAR;AYAVIRI;PAP MELGAR;OPERATIVO;08:45 a 16:45;Calle Jorge Chavez N°  550
PUNO;SANDIA;SANDIA;PAP SANDIA;OPERATIVO;08:45 a 16:45;Avenida Juliaca S/N - Mercado Central Sandia
PUNO;SAN ROMAN;JULIACA;AG SAN ROMAN;OPERATIVO;08:45 a 16:45;Jirón Brascesco N° 181 
PUNO;YUNGUYO;YUNGUYO;PAP YUNGUYO;OPERATIVO;08:45 a 16:45;Jirón Grau Nº 240
PUNO;SAN ANTONIO DE PUTINA;PUTINA;PAP PUTINA;OPERATIVO;08:45 a 16:45;- Plaza de Armas S/N (Palacio Municipal)
PUNO;EL COLLAO;ILAVE;PAP EL COLLAO;OPERATIVO;08:45 a 16:45;Jirón Bolognesi S/N - Coliseo Cubierto Ilave Oficina N° 02
PUNO;MOHO;MOHO;PAP MOHO;OPERATIVO;08:45 a 16:45;Avenida Circunvalación S/N Mercado Municipal
PUNO;AZANGARO;AZANGARO;ORA CARLOS CORNEJO ROSELLO;OPERATIVO;08:45 a 16:30;Jirón Francisco Bolognesi N° 557
PUNO;CHUCUITO;JULI;ORA JULI;OPERATIVO;08:45 a 16:30;Avenida Panamericana S/N
PUNO;HUANCANE;HUANCANE;ORA HOSPITAL LUCIO ALDAZABAL PAUCA;OPERATIVO;08:45 a 16:30;Avenida Santa Cruz S/N
PUNO;MELGAR;AYAVIRI;ORA SAN JUAN DE DIOS (AYAVIRI);OPERATIVO;08:45 a 16:30;Jirón Progreso S/N
PUNO;SAN ROMÁN;JULIACA;ORA CENTRO DE SALUD CLAS SANTA ADRIANA;OPERATIVO;08:45 a 16:30;Jirón Pachacutec S/N
PUNO;SAN ROMÁN;SAN MIGUEL;PAP SAN MIGUEL - JR11;OPERATIVO;08:45 a 16:45;- Palacio Municipal S/N
PUNO;CHUCUITO;DESAGUADERO;PAP DESAGUADERO;OPERATIVO;08:45 a 16:45;Jirón 28 de Julio N° 305 - Desaguadero
PUNO;PUNO;PUNO;PAP UNA PUNO;OPERATIVO;08:45 a 16:45;Avenida Floral N° 1153 - Ciudad Universitaria
PUNO;PUNO;ACORA;ACORA;OPERATIVO;08:45 a 16:45;- Plaza de Armas (Palacio Municipal)
ICA;ICA;ICA;ORA REGIONAL DE ICA;OPERATIVO;08:45 a 16:30;Avenida Huacachina S/N
AYACUCHO;LUCANAS;PUQUIO;AG LUCANAS;OPERATIVO;08:45 a 16:45;Jirón San Pedro  Nº 216
AYACUCHO;PARINACOCHAS;CORACORA;AG PARINACOCHAS;OPERATIVO;08:45 a 16:45;Jirón Bolognesi N° 419 Plaza de Armas
ICA;ICA;PARCONA;PAP PARCONA;OPERATIVO;08:45 a 16:45;Avenida Jhon F. Kennedy N° 500 con Calle Lima S/N (Costado del Palacio Municipal)
ICA;ICA;ICA;OR ICA;OPERATIVO;08:45 a 16:45;Avenida San Martin N° 1366 Mz. M-02 Lt. 035. Urb. San Isidro 
ICA;CHINCHA;CHINCHA ALTA;AG CHINCHA;OPERATIVO;08:45 a 16:45;Calle Los Angeles N° 300
ICA;NASCA;NASCA;AG NASCA;OPERATIVO;08:45 a 16:45;Calle Fermin del Castillo N° 270
ICA;PISCO;PISCO;AG PISCO;OPERATIVO;08:45 a 16:45;Calle San Juan de Dios N° 288
AYACUCHO;LUCANAS;PUQUIO;ORA FELIPE HUAMAN POMA DE AYALA;OPERATIVO;08:45 a 16:30;Avenida Arnaldo Alvarado S/N 
AYACUCHO;PARINACOCHAS;CORACORA;ORA HOSPITAL DE APOYO DE CORACORA;OPERATIVO;08:45 a 16:30;Avenida La Cultura S/N
ICA;ICA;ICA;ORA SANTA MARIA DEL SOCORRO;OPERATIVO;08:45 a 16:30;Calle Castrovirreyna N° 759
ICA;PISCO;PISCO;ORA SAN JUAN DE DIOS;OPERATIVO;08:45 a 16:30;Avenida Fermín Tanguis S/N (Altura del Fundo Alto de la Luna)
ICA;CHINCHA;CHINCHA ALTA;ORA SAN JOSE DE CHINCHA;OPERATIVO;08:45 a 16:30;Avenida Abelardo Alva Maurtua Nº 600
ICA;NASCA;NASCA;ORA HOSPITAL DE APOYO DE NASCA;OPERATIVO;08:45 a 16:30;Calle Callao S/N - 5ta Cuadra
ICA;ICA;ICA;ORA AUGUSTO HERNANDEZ MENDOZA;OPERATIVO;08:45 a 16:30;Calle Av. José Matias Manzanilla S/N
UCAYALI;CORONEL PORTILLO;CALLERIA;ORA HOSPITAL REGIONAL DE PUCALLPA;OPERATIVO;08:45 a 16:30;Jirón Agustin Cauper N° 285
HUANUCO;PUERTO INCA;PUERTO INCA;PAP PUERTO INCA;OPERATIVO;08:45 a 16:45;Jirón Vulcano S/N
UCAYALI;CORONEL PORTILLO;YARINACOCHA;ORA HOSPITAL AMAZÓNICO - YARINACOCHA;OPERATIVO;08:45 a 16:30;Jirón Aguaytia N° 605
LORETO;UCAYALI;CONTAMANA;PAP CONTAMANA;OPERATIVO;08:45 a 16:45;Calle Nuevo Loreto Mz.38C  Lt.5B
UCAYALI;PADRE ABAD;IRAZOLA ;AG IRAZOLA ;OPERATIVO;08:45 a 16:45;Calle Jr. Progreso S/N 
UCAYALI;PADRE ABAD;PADRE ABAD;ORA AGUAYTIA;OPERATIVO;08:45 a 16:30;Jirón Victor Pinedo / Palmeras Mz. 152A Junta Vecinal Pampayurac
UCAYALI;CORONEL PORTILLO;CALLERIA;OR PUCALLPA;OPERATIVO;08:45 a 16:45;Jirón 09 de Diciembre N° 378 y Tacna Nº 891 Mz. 07 Lt. Acumulado 1-B, independiente.
UCAYALI;PADRE ABAD;PADRE ABAD;PAP PADRE ABAD;OPERATIVO;08:45 a 16:45;Avenida Jr. Grau Nº 214
UCAYALI;ATALAYA;RAIMONDI;PAP ATALAYA;OPERATIVO;08:45 a 16:45;Jirón Rioja Nº 659
UCAYALI;PURUS;PURUS;PAP PURUS;OPERATIVO;08:45 a 16:45;Avenida Purus S/N
UCAYALI;ATALAYA;TAHUANIA;PAP TAHUANIA;OPERATIVO;08:45 a 16:45;Jirón 7 de Junio  S/N
UCAYALI;CORONEL PORTILLO;CALLERIA;MAC UCAYALI;OPERATIVO;08:45 a 16:45;Avenida Centenario 1642 (2do piso)
HUANCAVELICA;HUANCAVELICA;IZCUCHACA;PAP IZCUCHACA;OPERATIVO;08:45 a 16:45;Avenida Ferrocarril  S/N 
HUANCAVELICA;ACOBAMBA;PAUCARA;PAP PAUCARA;OPERATIVO;08:45 a 16:45;- Plaza Mayor S/N
HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;ORA HOSPITAL REGIONAL ZACARIAS CORREA VALDIVIA;OPERATIVO;08:45 a 16:30;Avenida Andrés Avelino Cáceres S/N - Barrio Yananaco
HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;ORA HUANDO;DESPLAZAMIENTO;08:45 a 16:30;Calle Cementerio s/n
HUANCAVELICA;HUANCAVELICA;ASCENSIÓN;ORA HOSPITAL II HUANCAVELICA;OPERATIVO;08:45 a 16:30;Avenida Teresa de Jurnet S/N
HUANCAVELICA;HUANCAVELICA;HUANCAVELICA;OR HUANCAVELICA;OPERATIVO;08:45 a 16:45;Avenida Av. San Cristóbal Nº 384, 386 y 388
HUANCAVELICA;ACOBAMBA;ACOBAMBA;OR ACOBAMBA;OPERATIVO;08:45 a 16:45;Jirón Dos De Mayo N° 459
HUANCAVELICA;ANGARAES;LIRCAY;OR ANGARAES;OPERATIVO;08:45 a 16:45;Avenida Centenario S/N - Barrio de Pueblo Nuevo - Dentro del Centro Civico
HUANCAVELICA;CASTROVIRREYNA;CASTROVIRREYNA;OR CASTROVIRREYNA;OPERATIVO;08:45 a 16:45;Avenida Los Libertadores S/N
HUANCAVELICA;TAYACAJA;PAMPAS;OR TAYACAJA;OPERATIVO;08:45 a 16:45;Jirón Manco Capac S/N con Jirón Alfonso Ugarte Cordova y Necochea - Coliseo Multiuso
