DEPARTAMENTO;PROVINCIA;DISTRITO;CENTRO DE ATENCION;ESTADO;HORARIOS DE ATENCIÓN; DIRECCIÓN 
LA LIBERTAD;ASCOPE;ASCOPE;PAP ASCOPE;OPERATIVO;08:45 - 16:45  ;Grau N° 879
LA LIBERTAD;VIRU;VIRU;PAP VIRU;OPERATIVO;08:45 - 16:45  ;Lote N° 08 Manzana A Urb. Las Palmeras
CAJAMARCA;CONTUMAZA;CONTUMAZÁ;PAP CONTUMAZA;OPERATIVO;08:15 - 13:45  ;Miguel Grau Nº 212
LA LIBERTAD;GRAN CHIMU;CASCAS;PAP GRAN CHIMU;OPERATIVO;08:15 - 13:45  ;Progreso S/N Cdra 3
CAJAMARCA;CAJABAMBA;CAJABAMBA;PAP CAJABAMBA;OPERATIVO;08:45 - 16:45  ;Grau Nº 224 
CAJAMARCA;CELENDIN;CELENDÍN;PAP CELENDIN;OPERATIVO;08:45 - 16:45  ;Pardo N° 610
CAJAMARCA;HUALGAYOC;BAMBAMARCA;PAP HUALGAYOC;OPERATIVO;08:45 - 16:45  ;07 de Junio Nº 470
CAJAMARCA;SAN MARCOS;PEDRO GÁLVEZ;PAP SAN MARCOS;OPERATIVO;08:45 - 16:45  ; Alfonso Ugarte N° 325
LA LIBERTAD;BOLIVAR;BOLÍVAR;PAP BOLIVAR;OPERATIVO;08:15 - 13:45  ;Bolivar N° 319 - Mz 20 - Lote 8
LA LIBERTAD;JULCAN;JULCÁN;PAP JULCAN;OPERATIVO PARCIAL;08:15 - 13:45  ;28 de Julio N°201 Centro Civico
LA LIBERTAD;SANTIAGO DE CHUCO;SANTIAGO DE CHUCO;PAP SANTIAGO DE CHUCO;OPERATIVO;08:15 - 13:45  ;Luis de La Puente Uceda  Nº 1120
CAJAMARCA;SAN PABLO;SAN PABLO;PAP SAN PABLO;OPERATIVO;08:15 - 13:45  ;13 de Julio 166 - Plaza de Armas
CAJAMARCA;SAN MIGUEL;SAN MIGUEL;PAP SAN MIGUEL;OPERATIVO PARCIAL;08:15 - 13:45  ;Pedro Novoa Nº 448
LA LIBERTAD;CHEPEN;CHEPÉN;PAP CHEPEN;OPERATIVO;08:45 - 16:45  ;Chepen
LA LIBERTAD;PATAZ;TAYABAMBA;PAP PATAZ;OPERATIVO;08:15 - 13:45  ;José Gálvez Nº 332
CAJAMARCA;CAJAMARCA;CAJAMARCA;ORA REGIONAL CAJAMARCA;OPERATIVO;08:15 - 13:45  ;Mario Urteaga N° 500
CAJAMARCA;CAJAMARCA;BAÑOS DEL INCA;ORA BAÑOS DEL INCA;OPERATIVO;08:15 - 13:45  ;Pachacutec 439
CAJAMARCA;CAJABAMBA;CAJABAMBA;ORA NUESTRA SEÑORA DEL ROSARIO;OPERATIVO;08:15 - 13:45  ;La Torre N° 277
LA LIBERTAD;CELENDIN;CELEDIN;ORA DE APOYO CELENDIN;OPERATIVO;08:15 - 13:45  ;Bolognesi N° 740
LA LIBERTAD;CHEPEN;CHEPEN;ORA DE APOYO CHEPEN;OPERATIVO;08:15 - 13:45  ;28 DE JULIO S/N
LA LIBERTAD;SANCHEZ CARRION;HUAMACHUCO;ORA DE APOYO LEONCIO PRADO;OPERATIVO;08:15 - 13:45  ;10 DE JULIO N° 209
LA LIBERTAD;TRUJILLO;LA ESPERANZA;JERUSALEN;OPERATIVO;08:15 - 13:45  ;PASAJE 1 BARRIO 3 MZ. 20 LT. 02 SECTOR JERUSALEN
LA LIBERTAD;OTUZCO;OTUZCO;ELPIDIO BEROVIDES PEREZ;OPERATIVO;08:15 - 13:45  ;PROGRESO 385
LA LIBERTAD;TRUJILLO;TRUJILLO;ORA HOSPITAL BELÉN DE TRUJILLO;OPERATIVO;08:15 - 13:45  ;Bolívar Nº 350
LA LIBERTAD;CAJAMARCA;CAJAMARCA;ORA SIMON BOLIVAR;OPERATIVO;08:15 - 13:45  ;Mario Urteaga N° 500
LA LIBERTAD;CAJAMARCA;CAJAMARCA;MAC CAJAMARCA;OPERATIVO;Lun a Vie 08:00 - 16:45  Sab 08:00 - 13:45 ;Av. Via de Evitamineto. Jr. El Mutuy y Av. La Cantuta - Cajamarca - Centro Comercial Real Plaza Segundo Piso
LORETO;ALTO AMAZONAS;YURIMAGUAS;AG ALTO AMAZONAS;OPERATIVO;08:45 - 16:45  ;Mariscal Castilla N° 411
SAN MARTIN;BELLAVISTA;BELLAVISTA;AG BELLAVISTA;OPERATIVO;08:15 - 13:45  ;Iquitos Nº 370
SAN MARTIN;MARISCAL CACERES;JUANJUI;AG MARISCAL CACERES;OPERATIVO;08:45 - 16:45  ;Eduardo Peña Meza N° 772 
SAN MARTIN;MOYOBAMBA ;MOYOBAMBA;AG MOYOBAMBA;OPERATIVO;08:45 - 16:45  ;Alonso de Alvarado N° 973
SAN MARTIN;PICOTA;PICOTA;AG PICOTA;OPERATIVO;08:15 - 13:45  ;Miguel Grau N° 338
SAN MARTIN;EL DORADO ;SAN JOSE DE SISA;AG EL DORADO;OPERATIVO;08:15 - 13:45  ;Huascar N° 265
SAN MARTIN;HUALLAGA;SAPOSOA;AG HUALLAGA;OPERATIVO;08:15 - 13:45  ;Lima N° 591
SAN MARTIN;LAMAS;LAMAS;AG LAMAS;OPERATIVO;08:15 - 13:45  ;San Martín N° 934
LORETO;DATEM DEL MARAÑON;BARRANCA;PAP DATEM DEL MARAÑON;OPERATIVO;08:45 - 16:45  ;Tigre N° 249 - San Lorenzo
SAN MARTIN;RIOJA;NUEVA CAJAMARCA;AG NUEVA CAJAMARCA;OPERATIVO;08:45 - 16:45  ;Piura N° 300
LORETO;ALTO AMAZONAS;LAGUNAS;AG LAGUNAS;OPERATIVO PARCIAL;08:15 - 13:45  ;Juan Vasquez N° 232
SAN MARTIN;SAN MARTIN ;TARAPOTO;OR TARAPOTO;OPERATIVO;08:45 - 16:45  ;Jiménez Pimentel N° 280 
SAN MARTIN;RIOJA;RIOJA;OR RIOJA;OPERATIVO;08:45 - 16:45  ;Angaiza N° 470 - 474
SAN MARTIN;SAN MARTIN ;LA BANDA DE SHILCAYO;LA BANDA DE SHILCAYO;OPERATIVO;08:15 - 13:45  ;Yurimaguas N° 340
SAN MARTIN;SAN MARTIN ;TARAPOTO;ORA TARAPOTO;OPERATIVO;08:15 - 13:45  ;Ángel Delgado Morey Nº 503
SAN MARTIN;SAN MARTIN ;TARAPOTO;ORA RIOJA;OPERATIVO;08:15 - 13:45  ;Jr. Venezia S/N
SAN MARTIN;SAN MARTIN ;TARAPOTO;ORA SAN GEMA DE YURIMAGUAS;OPERATIVO PARCIAL;08:15 - 13:45  ;Progreso 305-307 
LORETO;MAYNAS;PUNCHANA;PAP PUNCHANA;OPERATIVO;08:15 - 13:45  ;Trujillo esquina con Calle Cusco Cdra 5
LORETO;MAYNAS;IQUITOS;OR IQUITOS;OPERATIVO;08:45 - 16:45  ;Prospero con Jr.Putumayo Nº 201
LORETO;MAYNAS;BELÉN;OR BELEN;OPERATIVO;08:15 - 13:45  ;Miraflores S/N P.J. 09 de Octubre
LORETO;MAYNAS;SAN JUAN BAUTISTA;OR SAN JUAN BAUTISTA;OPERATIVO;08:15 - 13:45  ;Abelardo Quiñones Nº 2371 Km 2.5 
LORETO;REQUENA;REQUENA;PAP REQUENA;OPERATIVO;08:15 - 13:45  ;San Antonio S/N Anexo Hotel Municipal
LORETO;MARISCAL RAMON CASTILLA;RAMON CASTILLA;PAP MARISCAL RAMON CASTILLA - CABALLOCOCHA;OPERATIVO;08:15 - 13:45  ;Ayacucho Mz 22 Lt 4 C con Amazonas S/N - Local Municipal
LORETO;LORETO;NAUTA;PAP NAUTA;OPERATIVO;08:15 - 13:45  ;Manuel Pacaya cuadra 5
LORETO;MARISCAL RAMON CASTILLA;YAVARI;PAP YAVARI;OPERATIVO;08:15 - 13:45  ;Dos de Julio S/N Local Municipal
